序号,申请 注册号,国际分类,所属品牌/主体,商标名称
,56896430 ,3.0,WIS,+WIS+实验室
,43347372 ,3.0,WIS,WIS PROFESSIONAL
,37968902 ,3.0,WIS,WISWEN
,37009271,3.0,WIS,WIS
,23544946 ,3.0,WIS,WISMAN
,23035541 ,3.0,WIS,WIS PLUS
,19125512 ,3.0,WIS,+WIS+ PROFESSIONAL
,7629781,3.0,WIS,WIS
,37005421 ,41.0,FANDOW 凡岛,WTEAM
,36912583 ,30.0,FANDOW 凡岛,FANDOW
,36912418 ,21.0,FANDOW 凡岛,FANDOW
,36907993 ,7.0,FANDOW 凡岛,FANDOW
,36907654 ,20.0,FANDOW 凡岛,FANDOW
,36906809 ,9.0,FANDOW 凡岛,FANDOW
,36906133 ,28.0,FANDOW 凡岛,FANDOW
,36904873 ,36.0,FANDOW 凡岛,FANDOW
,36902715 ,12.0,FANDOW 凡岛,FANDOW
,36902554 ,8.0,FANDOW 凡岛,FANDOW
,36902473 ,39.0,FANDOW 凡岛,FANDOW
,36902430 ,37.0,FANDOW 凡岛,FANDOW
,36901109 ,25.0,FANDOW 凡岛,FANDOW
,36895125 ,40.0,FANDOW 凡岛,FANDOW
,36894878 ,11.0,FANDOW 凡岛,FANDOW
,36894767 ,41.0,FANDOW 凡岛,FANDOW
,36893553 ,13.0,FANDOW 凡岛,FANDOW
,36889836 ,16.0,FANDOW 凡岛,FANDOW
,36889680 ,43.0,FANDOW 凡岛,FANDOW
,36889612 ,38.0,FANDOW 凡岛,FANDOW
,36887699 ,10.0,FANDOW 凡岛,FANDOW
,36886597 ,24.0,FANDOW 凡岛,FANDOW
,36726433 ,44.0,FANDOW 凡岛,FANDOW
,36723838 ,33.0,FANDOW 凡岛,凡岛
,36722338 ,33.0,FANDOW 凡岛,FANDOW
,36720506 ,35.0,FANDOW 凡岛,凡岛
,36719690 ,44.0,FANDOW 凡岛,凡岛
,36715703 ,34.0,FANDOW 凡岛,FANDOW
,36712508 ,5.0,FANDOW 凡岛,FANDOW
,36712290 ,45.0,FANDOW 凡岛,凡岛
,36704658 ,34.0,FANDOW 凡岛,凡岛
,36703523 ,42.0,FANDOW 凡岛,凡岛
,36674180 ,31.0,FANDOW 凡岛,凡岛
,36673062 ,22.0,FANDOW 凡岛,凡岛
,36673021 ,19.0,FANDOW 凡岛,FANDOW
,36671546 ,15.0,FANDOW 凡岛,FANDOW
,36670397 ,27.0,FANDOW 凡岛,FANDOW
,36670372 ,26.0,FANDOW 凡岛,凡岛
,36668551 ,32.0,FANDOW 凡岛,凡岛
,36668488 ,29.0,FANDOW 凡岛,凡岛
,36668446 ,27.0,FANDOW 凡岛,凡岛
,36668385 ,23.0,FANDOW 凡岛,凡岛
,36666496 ,29.0,FANDOW 凡岛,FANDOW
,36664757 ,23.0,FANDOW 凡岛,FANDOW
,36663298 ,32.0,FANDOW 凡岛,FANDOW
,36661599 ,31.0,FANDOW 凡岛,FANDOW
,36660067 ,19.0,FANDOW 凡岛,凡岛
,36660047 ,17.0,FANDOW 凡岛,凡岛
,36659036 ,22.0,FANDOW 凡岛,FANDOW
,36654707 ,17.0,FANDOW 凡岛,FANDOW
,36654545 ,26.0,FANDOW 凡岛,FANDOW
,36623224 ,1.0,FANDOW 凡岛,凡岛
,36620864 ,14.0,FANDOW 凡岛,凡岛
,36620266 ,4.0,FANDOW 凡岛,凡岛
,36620108 ,2.0,FANDOW 凡岛,FANDOW
,36616450 ,7.0,FANDOW 凡岛,凡岛
,36615219 ,2.0,FANDOW 凡岛,凡岛
,36609807 ,13.0,FANDOW 凡岛,凡岛
,36608656 ,12.0,FANDOW 凡岛,凡岛
,36605015 ,6.0,FANDOW 凡岛,凡岛
,36604850 ,3.0,FANDOW 凡岛,凡岛
,17007541 ,42.0,FANDOW 凡岛,凡岛
,17007439 ,42.0,FANDOW 凡岛,FANDOW
,17006676 ,35.0,FANDOW 凡岛,凡岛
,17006572 ,35.0,FANDOW 凡岛,FANDOW
,7841466 ,3.0,其他,S1
,72252673A,3.0,FANDOW 凡岛,凡岛
,76941649,3.0,FANDOW 凡岛,凡岛
,57858579 ,3.0,其他,可那
,57843275 ,3.0,其他,蔻那
,39847027 ,3.0,其他,MOXU
,18826032 ,42.0,其他,2W
,18825615 ,9.0,其他,2W
,18825382 ,41.0,其他,2W
,18811228 ,3.0,其他,图形
,37020743 ,42.0,WTEAM,WTEAM
,58586294,3.0,墨雪,墨雪
,39852737,3.0,墨雪,墨雪
,7957668,3.0,墨雪,墨雪
,73128808,3.0,墨雪,墨雪
,12373370 ,35.0,慕可,慕可
,12373338 ,3.0,慕可,慕可
